"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"Todas","22",,,,,,
"49081","49",18.6,18.6,0,2,"Fuentesaúco","Zamora"
"28079","28",92.4,9.3,83.1,2420,"Madrid","Madrid"
"test",16,100,100,0,2,"ee"
"test",16,11.3,11.3,0,2,"ee"
"39057","39",22.1,22.1,0,2,"Ramales de la Victoria","Cantabria"
"06097","06",22.3,22.3,0,2,"Orellana la Vieja","Badajoz"
"18115","18",26.8,26.8,0,2,"Láchar","Granada"
"45157","45",35.6,35.6,0,2,"Santa Cruz del Retamar","Toledo"
"08248","08",43.5,43.5,0,2,"Santa Eulàlia de Ronçana","Barcelona"
"46251","46",14.1,14,0.1,2,"Vallada","Valencia/Valéncia"
"04092","04",15.2,15.1,0.1,2,"Tíjola","Almería"
"26099","26",15.3,15.2,0.1,2,"Murillo de Río Leza","Rioja, La"
"23017","23",15.9,15.8,0.1,2,"Cabra del Santo Cristo","Jaén"
"13090","13",16.5,16.4,0.1,2,"Villamanrique","Ciudad Real"
"46089","46",17.4,17.3,0.1,2,"Casinos","Valencia/Valéncia"
"05163","05",18,17.9,0.1,2,"Navaluenga","Ávila"
"48022","48",20.2,20.1,0.1,2,"Karrantza Harana/Valle de Carranza","Bizkaia"
"27047","27",21,20.9,0.1,2,"Pobra do Brollón, A","Lugo"
"50903","50",23.7,23.6,0.1,2,"Villamayor de Gállego","Zaragoza"
"32047","32",24.8,24.7,0.1,2,"Merca, A","Ourense"
"07047","07",26.7,26.6,0.1,2,"Sencelles","Balears, Illes"
"05002","05",27.2,27.1,0.1,2,"Adrada, La","Ávila"
"21040","21",28.2,28.1,0.1,2,"Hinojos","Huelva"
"31905","31",29.7,29.6,0.1,2,"Beriáin","Navarra"
"09289","09",29.9,29.8,0.1,2,"Quintanar de la Sierra","Burgos"
"36013","36",35.2,35.1,0.1,3,"Covelo","Pontevedra"
"05114","05",10.1,9.9,0.2,2,"Madrigal de las Altas Torres","Ávila"
"16171","16",11.5,11.3,0.2,2,"Provencio, El","Cuenca"
"06051","06",14.6,14.4,0.2,2,"Fuenlabrada de los Montes","Badajoz"
"29046","29",15.3,15.1,0.2,2,"Cortes de la Frontera","Málaga"
"39004","39",15.5,15.3,0.2,2,"Arenas de Iguña","Cantabria"
"45020","45",16.3,16.1,0.2,2,"Belvís de la Jara","Toledo"
"23905","23",17.5,17.3,0.2,2,"Arroyo del Ojanco","Jaén"
"02072","02",17.9,17.7,0.2,2,"Socovos","Albacete"
"32050","32",18,17.8,0.2,2,"Monterrei","Ourense"
"31254","31",21.3,21.1,0.2,2,"Villafranca","Navarra"
"21029","21",22.1,21.9,0.2,2,"Cumbres Mayores","Huelva"
"32071","32",25.8,25.6,0.2,2,"Riós","Ourense"
"26125","26",26,25.8,0.2,2,"Rincón de Soto","Rioja, La"
"28087","28",27.6,27.4,0.2,2,"Molinos, Los","Madrid"
"31163","31",31.4,31.2,0.2,2,"Marcilla","Navarra"
"23045","23",32.5,32.3,0.2,2,"Huesa","Jaén"
"28108","28",34.6,34.4,0.2,2,"Pedrezuela","Madrid"
