provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
otra,22,,,,,,Todas
Huelva,21,28.2,28.1,0.1,2,Hinojos,wwwwww
Madrid,22,,,,,Madrid,madridx
Madrid,44,88,33,,,Madrid,madrid
Barcelona,6,82.3,22.3,0,2,barna,sss
Barcelonaw,6,22.3,22.3,0,2,barna,ssse
Cssantabria,6,22.3,22.3,0,2,csss,sss
qwqwZamora,49,18.6,18.6,0,2,Fuentesayyyco,qwe
Zamora,49,18.6,18.6,0,2,Fuentesaúco,49081
Madrid,28,92.4,9.3,83.1,2420,Madrid,28079
xxx,16,100,100,0,2,eex,test
xxxx,16,11.3,11.3,0,2,eexx,test
Cantabria,39,22.1,22.1,0,2,Ramales de la Victoria,39057
Badajoz,6,22.3,22.3,0,2,Orellana la Vieja,6097
Granada,18,26.8,26.8,0,2,Láchar,18115
Toledo,45,35.6,35.6,0,2,Santa Cruz del Retamar,45157
Barcelona,8,43.5,43.5,0,2,Santa Eulàlia de Ronçana,8248
Valencia/Valéncia,46,14.1,14,0.1,2,Vallada,46251
Almería,4,15.2,15.1,0.1,2,Tíjola,4092
"Rioja, La",26,15.3,15.2,0.1,2,Murillo de Río Leza,26099
Jaén,23,15.9,15.8,0.1,2,Cabra del Santo Cristo,23017
Ciudad Real,13,16.5,16.4,0.1,2,Villamanrique,13090
Valencia/Valéncia,46,17.4,17.3,0.1,2,Casinos,46089
Ávila,5,18,17.9,0.1,2,Navaluenga,5163
Bizkaia,48,20.2,20.1,0.1,2,Karrantza Harana/Valle de Carranza,48022
Lugo,27,21,20.9,0.1,2,"Pobra do Brollón, A",27047
Zaragoza,50,23.7,23.6,0.1,2,Villamayor de Gállego,50903
Ourense,32,24.8,24.7,0.1,2,"Merca, A",32047
"Balears, Illes",7,26.7,26.6,0.1,2,Sencelles,7047
Ávila,5,27.2,27.1,0.1,2,"Adrada, La",5002
Huelva,21,28.2,28.1,0.1,2,Hinojos,21040
Navarra,31,29.7,29.6,0.1,2,Beriáin,31905
Burgos,9,29.9,29.8,0.1,2,Quintanar de la Sierra,9289
Pontevedra,36,35.2,35.1,0.1,3,Covelo,36013
Ávila,5,10.1,9.9,0.2,2,Madrigal de las Altas Torres,5114
Cuenca,16,11.5,11.3,0.2,2,"Provencio, El",16171
Badajoz,6,14.6,14.4,0.2,2,Fuenlabrada de los Montes,6051
Málaga,29,15.3,15.1,0.2,2,Cortes de la Frontera,29046
Cantabria,39,15.5,15.3,0.2,2,Arenas de Iguña,39004
Toledo,45,16.3,16.1,0.2,2,Belvís de la Jara,45020
Jaén,23,17.5,17.3,0.2,2,Arroyo del Ojanco,23905
Albacete,2,17.9,17.7,0.2,2,Socovos,2072
Ourense,32,18,17.8,0.2,2,Monterrei,32050
Navarra,31,21.3,21.1,0.2,2,Villafranca,31254
Huelva,21,22.1,21.9,0.2,2,Cumbres Mayores,21029
Ourense,32,25.8,25.6,0.2,2,Riós,32071
"Rioja, La",26,26,25.8,0.2,2,Rincón de Soto,26125
Madrid,28,27.6,27.4,0.2,2,"Molinos, Los",28087
Navarra,31,31.4,31.2,0.2,2,Marcilla,31163
Jaén,23,32.5,32.3,0.2,2,Huesa,23045
Madrid,28,34.6,34.4,0.2,2,Pedrezuela,28108
Castellón/Castelló,12,17.1,16.8,0.3,2,"Coves de Vinromà, les",12050
Badajoz,6,18.2,17.9,0.3,2,Bienvenida,6020
Cantabria,39,19.1,18.8,0.3,2,Corvera de Toranzo,39026
"Coruña, A",15,20.5,20.2,0.3,2,Moeche,15049
Almería,4,21.9,21.6,0.3,2,Tabernas,4088
Salamanca,37,24.6,24.3,0.3,2,Lumbrales,37173
Cáceres,10,25.6,25.3,0.3,2,Gata,10084
Pontevedra,36,26.9,26.6,0.3,2,Pazos de Borbén,36037
Madrid,28,30.5,30.2,0.3,2,Valdeolmos-Alalpardo,28162
Toledo,45,14.3,13.9,0.4,2,Villanueva de Alcardete,45192
Toledo,45,14.6,14.2,0.4,2,Orgaz,45124
"Coruña, A",15,14.8,14.4,0.4,2,Vilasantar,15090
Ciudad Real,13,17.9,17.5,0.4,2,Carrizosa,13032
Toledo,45,18.8,18.4,0.4,2,Gálvez,45067
Ávila,5,23,22.6,0.4,2,Piedralaves,5187
Ourense,32,23.4,23,0.4,2,Vilamarín,32087
Málaga,29,25.2,24.8,0.4,2,Tolox,29090
León,24,25.7,25.3,0.4,2,Carrizo,24039
Huelva,21,26.4,26,0.4,3,Aroche,21008
Tarragona,43,27.8,27.4,0.4,2,"Aldea, L'",43904
Toledo,45,29.8,29.4,0.4,2,Burguillos de Toledo,45023
Santa Cruz de Tenerife,38,31.8,31.4,0.4,2,Valle Gran Rey,38049
Pontevedra,36,32.8,32.4,0.4,2,Cerdedo,36011
Badajoz,6,15.3,14.8,0.5,2,Salvaleón,6116
"Coruña, A",15,17.5,17,0.5,2,Aranga,15003
Badajoz,6,18.1,17.6,0.5,2,Alange,6004
Ciudad Real,13,18.9,18.4,0.5,2,Villarta de San Juan,13097
Toledo,45,19.6,19.1,0.5,2,Villarrubia de Santiago,45195
Granada,18,19.7,19.2,0.5,2,Molvízar,18133
Navarra,31,19.8,19.3,0.5,2,Lerín,31152
Cáceres,10,21.8,21.3,0.5,2,Serradilla,10175
Cantabria,39,22.2,21.7,0.5,2,Villaescusa,39099
"Rioja, La",26,24,23.5,0.5,2,Aldeanueva de Ebro,26008
Tarragona,43,24.2,23.7,0.5,2,Falset,43055
Toledo,45,26,25.5,0.5,2,Alcaudete de la Jara,45006
Lugo,27,26.2,25.7,0.5,2,Cervantes,27012
Salamanca,37,34.4,33.9,0.5,2,Vitigudino,37376
Málaga,29,13.4,12.8,0.6,2,Cuevas del Becerro,29048
Cuenca,16,18.1,17.5,0.6,2,"Alberca de Záncara, La",16007
Cantabria,39,18.4,17.8,0.6,2,Comillas,39024
Santa Cruz de Tenerife,38,20.4,19.8,0.6,2,Fuencaliente de la Palma,38014
Sevilla,41,20.5,19.9,0.6,2,Martín de la Jara,41062
"Coruña, A",15,21.8,21.2,0.6,4,Boqueixón,15012
Málaga,29,21.9,21.3,0.6,2,Ardales,29018
Ciudad Real,13,22.2,21.6,0.6,2,Agudo,13002
Granada,18,22.3,21.7,0.6,2,Vélez de Benaudalla,18184
Toledo,45,22.7,22.1,0.6,2,Ajofrín,45001
Valencia/Valéncia,46,22.8,22.2,0.6,2,Serra,46228
Segovia,40,23.8,23.2,0.6,2,Carbonero el Mayor,40043
Lugo,27,24.1,23.5,0.6,2,Baralla,27901
Badajoz,6,25,24.4,0.6,2,Villar del Rey,6155
Teruel,44,26.5,25.9,0.6,2,Híjar,44122
Badajoz,6,29.2,28.6,0.6,2,Solana de los Barros,6126
Tarragona,43,33.6,33,0.6,2,"Espluga de Francolí, L'",43054
Barcelona,8,39.5,38.9,0.6,2,Sant Cebrià de Vallalta,8203
Ciudad Real,13,11.4,10.7,0.7,2,Pozuelo de Calatrava,13066
Ciudad Real,13,13.9,13.2,0.7,2,Albaladejo,13004
Sevilla,41,15.2,14.5,0.7,2,Badolatosa,41014
Albacete,2,17.8,17.1,0.7,2,Elche de la Sierra,2030
"Palmas, Las",35,17.8,17.1,0.7,2,Tejeda,35025
Lleida,25,18.7,18,0.7,2,Aitona,25038
Málaga,29,19,18.3,0.7,2,Cañete la Real,29035
Badajoz,6,20.4,19.7,0.7,2,Salvatierra de los Barros,6117
Badajoz,6,22.2,21.5,0.7,2,Villalba de los Barros,6152
Cuenca,16,25.2,24.5,0.7,2,Huete,16112
Bizkaia,48,28.8,28.1,0.7,2,Zamudio,48905
Girona,17,36.2,35.5,0.7,2,"Jonquera, La",17086
"Balears, Illes",7,40.9,40.2,0.7,3,Sant Joan de Labritja,7050
Cuenca,16,11.4,10.6,0.8,2,Ledaña,16118
Albacete,2,12.7,11.9,0.8,2,Balazote,2012
Sevilla,41,12.8,12,0.8,4,Casariche,41026
Ciudad Real,13,16.6,15.8,0.8,2,Chillón,13038
Córdoba,14,19.8,19,0.8,2,Pedro Abad,14050
Badajoz,6,23.8,23,0.8,2,Valencia del Ventoso,6141
Tarragona,43,27.8,27,0.8,2,Móra la Nova,43094
Navarra,31,27.9,27.1,0.8,2,Andosilla,31015
Albacete,2,29,28.2,0.8,2,Montealegre del Castillo,2051
Girona,17,31,30.2,0.8,2,Quart,17142
Asturias,33,34.5,33.7,0.8,2,Caso,33015
Granada,18,37.6,36.8,0.8,2,Cijuela,18048
Valencia/Valéncia,46,13.3,12.4,0.9,2,"Pobla del Duc, la",46200
Valencia/Valéncia,46,14,13.1,0.9,2,Aielo de Malferit,46042
Badajoz,6,14.3,13.4,0.9,2,Burguillos del Cerro,6022
