provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona,show
Coruña,22,22,,,,Madrid,Coruña
Cuenca,22,22,,,,,Cuenca
Albacete,100,50,,,,test,Albacete,test
test,22,,,,,,Todas
Madrid,22,,,,,Madrid,madrid
Madrid,22,,,,,Madrid,sevilla
Badajoz,22,22,,,,Madrid,badajoz
Barcelona,6,22.3,22.3,0,2,sss,sss
Cssantabria,6,22.3,22.3,0,2,csss,sss
qwqwZamora,49,18.6,18.6,0,2,Fuentesayyyco,qwe
Zamora,49,18.6,18.6,0,2,Fuentesaúco,m49081
Madrid,28,92.4,9.3,83.1,2420,Madrid,m28079
xxx,16,100,100,0,2,ee,test
xxxx,16,11.3,11.3,0,2,ee,test
Sevilla,41,86.5,24.6,61.9,532,Sevilla,m41091
Cádiz,11,99.1,38.4,60.7,64,"Puerto de Santa María, El",m11027
Cádiz,11,68.6,9.5,59.1,159,Jerez de la Frontera,m11020
Málaga,29,81.9,29.6,52.3,433,Málaga,m29067
Alicante,3,71,21,50,244,Alicante/Alacant,m3014
Santa Cruz de Tenerife,38,78.8,30.9,47.9,18,Adeje,m38001
Barcelona,8,72,24.6,47.4,146,Badalona,Barcelona
"Palmas, Las",35,67.5,22,45.5,5,Antigua,m35003
"Palmas, Las",35,64.8,19.8,45,11,Pájara,m35015
Valencia/Valéncia,46,67.2,22.2,45,14,Albal,m46007
Murcia,30,70.6,25.6,45,186,Cartagena,m30016
Granada,18,73.4,28.5,44.9,185,Granada,m18087
Córdoba,14,67.8,23.1,44.7,249,Córdoba,m14021
Albacete,2,66.2,21.9,44.3,117,Albacete,m2003
León,24,70,25.8,44.2,2,Cistierna,m24056
Alicante,3,64,20.9,43.1,4,Rojales,m3113
"Balears, Illes",7,68.1,25.3,42.8,5,Sant Llorenç des Cardassar,m7051
Almería,4,73.3,30.8,42.5,129,Almería,m4013
Alicante,3,63.4,21,42.4,2,San Fulgencio,m3118
Santa Cruz de Tenerife,38,75.6,33.3,42.3,33,Arona,m38006
Alicante,3,67.4,25.2,42.2,42,Orihuela,m3099
Barcelona,8,66,24.1,41.9,1068,Barcelona,Barcelona
"Balears, Illes",7,58.6,16.8,41.8,4,Muro,m7039
"Palmas, Las",35,62.5,21.1,41.4,26,San Bartolomé de Tirajana,m35019
Murcia,30,60.5,19.2,41.3,389,Murcia,m30030
Alicante,3,71.6,30.9,40.7,4,Teulada,m3128
"Balears, Illes",7,71,30.7,40.3,252,Palma,m7040
Sevilla,41,66.9,26.9,40,21,Carmona,m41024
Lleida,25,70,30.2,39.8,81,Lleida,m25120
Málaga,29,56.9,17.2,39.7,5,Manilva,m29068
Valencia/Valéncia,46,49,9.6,39.4,599,Valencia,m46250
Alicante,3,66.7,27.3,39.4,33,Torrevieja,m3133
Valencia/Valéncia,46,61.7,23,38.7,47,Paterna,m46190
Madrid,28,71.4,32.7,38.7,11,Ciempozuelos,m28040
"Balears, Illes",7,68.5,29.9,38.6,8,Pollença,m7042
Zaragoza,50,58.5,20.3,38.2,491,Zaragoza,m50297
Málaga,29,67.9,29.7,38.2,34,Estepona,m29051
Pontevedra,36,63.9,25.9,38,244,Vigo,m36057
Toledo,45,53.5,15.7,37.8,61,Talavera de la Reina,m45165
Málaga,29,63.6,26,37.6,28,Mijas,m29070
Badajoz,6,61,23.8,37.2,106,Badajoz,m6015
Barcelona,8,74.1,36.9,37.2,40,"Prat de Llobregat, El",m8169
Santa Cruz de Tenerife,38,66.6,30,36.6,7,San Miguel de Abona,m38035
Sevilla,41,64.5,28.1,36.4,34,Utrera,m41095
Madrid,28,58.4,22.1,36.3,125,Alcalá de Henares,m28005
Gipuzkoa,20,65.4,29.3,36.1,18,Arrasate/Mondragón,m20055
Gipuzcoa,20,65.4,29.3,36.1,18,Arrasate/Mondragón,m20055
Málaga,29,50.5,14.5,36,3,Casares,m29041
Barcelona,8,72.5,36.9,35.6,24,Sant Adrià de Besòs,m8194
Santa Cruz de Tenerife,38,67.2,31.7,35.5,164,Santa Cruz de Tenerife,m38038
Almería,4,57.5,22.2,35.3,2,Serón,m4083
Bizkaia,48,64.9,29.7,35.2,281,Bilbao,m48020
Tarragona,43,60.5,25.4,35.1,66,Reus,m43123
Alicante,3,65.2,30.3,34.9,6,Benissa,m3041
Barcelona,8,61.8,27.1,34.7,137,Terrassa,m8279
Tarragona,43,58.6,24,34.6,8,Mont-roig del Camp,m43092
Valencia/Valéncia,46,55.8,21.3,34.5,41,Sagunto/Sagunt,m46220
Málaga,29,60.9,26.4,34.5,8,Torrox,m29091
Alicante,3,59.9,25.5,34.4,19,"Villajoyosa/Vila Joiosa, la",m3139
Málaga,29,55.1,21.5,33.6,4,Almogía,m29011
Barcelona,8,67.2,33.6,33.6,39,Vilanova i la Geltrú,m8307
Huelva,21,68.4,35,33.4,107,Huelva,m21041
"Palmas, Las",35,60.9,27.6,33.3,9,"Oliva, La",m35014
"Palmas, Las",35,53.4,20.5,32.9,10,Mogán,m35012
Navarra,31,51.8,19.1,32.7,137,Pamplona/Iruña,m31201
Córdoba,14,54.3,21.7,32.6,27,Lucena,m14038
Málaga,29,66.1,33.5,32.6,75,Marbella,m29069
Sevilla,41,66.2,33.9,32.3,47,Alcalá de Guadaíra,m41004
Alicante,3,57,25,32,23,Villena,m3140
"Balears, Illes",7,58.4,26.4,32,24,Manacor,m7033
Alicante,3,50.7,18.8,31.9,7,Guardamar del Segura,m3076
"Palmas, Las",35,59.9,28,31.9,6,Yaiza,m35034
Santa Cruz de Tenerife,38,60.8,28.9,31.9,24,Granadilla de Abona,m38017
Alicante,3,54.5,22.9,31.6,7,"Nucia, la",m3094
Alicante,3,59.4,27.8,31.6,7,Calp,m3047
"Balears, Illes",7,60.5,28.9,31.6,25,Calvià,m7011
Valladolid,47,52.8,21.4,31.4,266,Valladolid,m47186
Barcelona,8,62.1,30.9,31.2,152,Sabadell,m8187
Cádiz,11,69.6,38.5,31.1,82,Algeciras,m11004
Ceuta,51,74.3,43.4,30.9,54,Ceuta,m51001
Asturias,33,55.9,25.1,30.8,181,Oviedo,m33044
Almería,4,56.2,25.4,30.8,9,Vera,m4100
"Palmas, Las",35,63,32.2,30.8,275,"Palmas de Gran Canaria, Las",m35016
Cáceres,10,53.1,22.4,30.7,71,Cáceres,m10037
Tarragona,43,62.9,32.2,30.7,83,Tarragona,m43148
Tarragona,43,54.8,24.2,30.6,24,Tortosa,m43155
Murcia,30,61.9,31.3,30.6,23,San Javier,m30035
Girona,17,61.8,31.5,30.3,61,Girona,m17079
Málaga,29,62.5,32.3,30.2,30,Benalmádena,m29025
Barcelona,8,63.9,33.7,30.2,99,Santa Coloma de Gramenet,m8245
Jaén,23,58.1,28.1,30,87,Jaén,m23050
Valencia/Valéncia,46,50.9,21.2,29.7,10,Carlet,m46085
"Balears, Illes",7,64.5,34.8,29.7,13,Sant Josep de sa Talaia,m7048
Barcelona,8,63.2,33.6,29.6,192,"Hospitalet de Llobregat, L'",m8101
Tarragona,43,60.4,31,29.4,12,Vila-seca,m43171
Girona,17,65.5,36.1,29.4,11,Roses,m17152
Cádiz,11,69.3,40.2,29.1,48,"Línea de la Concepción, La",m11022
Santa Cruz de Tenerife,38,55.4,26.4,29,20,Puerto de la Cruz,m38028
Ciudad Real,13,59,30.2,28.8,40,Puertollano,m13071
Cádiz,11,64.5,35.8,28.7,30,Puerto Real,m11028
Badajoz,6,42.9,14.4,28.5,26,Don Benito,m6044
