provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
test,22,,,,,,Todas,display
Álava,22,,,,,,Álava,display
Albacete,22,,,,,,Albacete,display
Alicante,22,,,,,,Alicante,display
Almería,22,,,,,,Almería,display
Ávila,22,,,,,,Ávila,display
Badajoz,22,,,,,,Badajoz,display
Illes Balears,22,,,,,,Illes Balears,display
Barcelona,22,,,,,,Barcelona,display
Burgos,22,,,,,,Burgos,display
Cáceres,22,,,,,,Cáceres,display
Cádiz,22,,,,,,Cádiz,display
Castellón,22,,,,,,Castellón,display
Ciudad Real,22,,,,,,Ciudad Real,display
Córdoba,22,,,,,,Córdoba,display
A Coruña,22,,,,,,A Coruña,display
Cuenca,22,,,,,,Cuenca,display
Girona,22,,,,,,Girona,display
Granada,22,,,,,,Granada,display
Guadalajara,22,,,,,,Guadalajara,display
Gipuzkoa,22,,,,,,Gipuzkoa,display
Gipuzcoa,22,,,,,,Gipuzcoa,display
Huelva,22,,,,,,Huelva,display
Huesca,22,,,,,,Huesca,display
Jaén,22,,,,,,Jaén,display
León,22,,,,,,León,display
Lleida,22,,,,,,Lleida,display
La Rioja,22,,,,,,La Rioja,display
Lugo,22,,,,,,Lugo,display
Madrid,22,,,,,,Madrid,display
Málaga,22,,,,,,Málaga,display
Murcia,22,,,,,,Murcia,display
Navarra,22,,,,,,Navarra,display
Ourense,22,,,,,,Ourense,display
Asturias,22,,,,,,Asturias,display
Palencia,22,,,,,,Palencia,display
Las Palmas,22,,,,,,Las Palmas,display
Pontevedra,22,,,,,,Pontevedra,display
Salamanca,22,,,,,,Salamanca,display
Santa Cruz de Tenerife,22,,,,,,Santa Cruz de Tenerife,display
Cantabria,22,,,,,,Cantabria,display
Segovia,22,,,,,,Segovia,display
Sevilla,22,,,,,,Sevilla,display
Soria,22,,,,,,Soria,display
Álava,22,,,,,,Álava,display
Zamora,49,18.6,18.6,0,2,Fuentesaúco,m49081,dontshow
Madrid,28,92.4,9.3,83.1,2420,Madrid,m28079,dontshow
xxx,16,100,100,0,2,ee,test,display
xxxx,16,11.3,11.3,0,2,ee,test,display
Sevilla,41,86.5,24.6,61.9,532,Sevilla,m41091,dontshow
Cádiz,11,99.1,38.4,60.7,64,"Puerto de Santa María, El",m11027,dontshow
Cádiz,11,68.6,9.5,59.1,159,Jerez de la Frontera,m11020,dontshow
Málaga,29,81.9,29.6,52.3,433,Málaga,m29067,dontshow
Alicante,3,71,21,50,244,Alicante/Alacant,m3014,dontshow
Santa Cruz de Tenerife,38,78.8,30.9,47.9,18,Adeje,m38001,dontshow
Barcelona,8,72,24.6,47.4,146,Badalona,m8015,dontshow
"Las Palmas",35,67.5,22,45.5,5,Antigua,m35003,dontshow
"Las Palmas",35,64.8,19.8,45,11,Pájara,m35015,dontshow
Valencia,46,67.2,22.2,45,14,Albal,m46007,dontshow
Murcia,30,70.6,25.6,45,186,Cartagena,m30016,dontshow
Granada,18,73.4,28.5,44.9,185,Granada,m18087,dontshow
Córdoba,14,67.8,23.1,44.7,249,Córdoba,m14021,dontshow
Albacete,2,66.2,21.9,44.3,117,Albacete,m2003,dontshow
León,24,70,25.8,44.2,2,Cistierna,m24056,dontshow
Alicante,3,64,20.9,43.1,4,Rojales,m3113,dontshow
"Illes Balears,",7,68.1,25.3,42.8,5,Sant Llorenç des Cardassar,m7051,dontshow
Almería,4,73.3,30.8,42.5,129,Almería,m4013,dontshow
Alicante,3,63.4,21,42.4,2,San Fulgencio,m3118,dontshow
Santa Cruz de Tenerife,38,75.6,33.3,42.3,33,Arona,m38006,dontshow
Alicante,3,67.4,25.2,42.2,42,Orihuela,m3099,dontshow
Barcelona,8,66,24.1,41.9,1068,Barcelona,m8019,dontshow
"Illes Balears,",7,58.6,16.8,41.8,4,Muro,m7039,dontshow
"Las Palmas",35,62.5,21.1,41.4,26,San Bartolomé de Tirajana,m35019,dontshow
Murcia,30,60.5,19.2,41.3,389,Murcia,m30030,dontshow
Alicante,3,71.6,30.9,40.7,4,Teulada,m3128,dontshow
"Illes Balears,",7,71,30.7,40.3,252,Palma,m7040,dontshow
Sevilla,41,66.9,26.9,40,21,Carmona,m41024,dontshow
Lleida,25,70,30.2,39.8,81,Lleida,m25120,dontshow
Málaga,29,56.9,17.2,39.7,5,Manilva,m29068,dontshow
Valencia,46,49,9.6,39.4,599,Valencia,m46250,dontshow
Alicante,3,66.7,27.3,39.4,33,Torrevieja,m3133,dontshow
Valencia,46,61.7,23,38.7,47,Paterna,m46190,dontshow
Madrid,28,71.4,32.7,38.7,11,Ciempozuelos,m28040,dontshow
"Illes Balears,",7,68.5,29.9,38.6,8,Pollença,m7042,dontshow
Zaragoza,50,58.5,20.3,38.2,491,Zaragoza,m50297,dontshow
Málaga,29,67.9,29.7,38.2,34,Estepona,m29051,dontshow
Pontevedra,36,63.9,25.9,38,244,Vigo,m36057,dontshow
Toledo,45,53.5,15.7,37.8,61,Talavera de la Reina,m45165,dontshow
Málaga,29,63.6,26,37.6,28,Mijas,m29070,dontshow
Badajoz,6,61,23.8,37.2,106,Badajoz,m6015,dontshow
Barcelona,8,74.1,36.9,37.2,40,"Prat de Llobregat, El",m8169,dontshow
Santa Cruz de Tenerife,38,66.6,30,36.6,7,San Miguel de Abona,m38035,dontshow
Sevilla,41,64.5,28.1,36.4,34,Utrera,m41095,dontshow
Madrid,28,58.4,22.1,36.3,125,Alcalá de Henares,m28005,dontshow
Gipuzkoa,20,65.4,29.3,36.1,18,Arrasate/Mondragón,m20055,dontshow
Gipuzcoa,20,65.4,29.3,36.1,18,Arrasate/Mondragón,m20055,dontshow
Málaga,29,50.5,14.5,36,3,Casares,m29041,dontshow
Barcelona,8,72.5,36.9,35.6,24,Sant Adrià de Besòs,m8194,dontshow
Santa Cruz de Tenerife,38,67.2,31.7,35.5,164,Santa Cruz de Tenerife,m38038,dontshow
Almería,4,57.5,22.2,35.3,2,Serón,m4083,dontshow
Bizkaia,48,64.9,29.7,35.2,281,Bilbao,m48020,dontshow
Tarragona,43,60.5,25.4,35.1,66,Reus,m43123,dontshow
Alicante,3,65.2,30.3,34.9,6,Benissa,m3041,dontshow
Barcelona,8,61.8,27.1,34.7,137,Terrassa,m8279,dontshow
Tarragona,43,58.6,24,34.6,8,Mont-roig del Camp,m43092,dontshow
Valencia,46,55.8,21.3,34.5,41,Sagunto/Sagunt,m46220,dontshow
Málaga,29,60.9,26.4,34.5,8,Torrox,m29091,dontshow
Alicante,3,59.9,25.5,34.4,19,"Villajoyosa/Vila Joiosa, la",m3139,dontshow
Málaga,29,55.1,21.5,33.6,4,Almogía,m29011,dontshow
Barcelona,8,67.2,33.6,33.6,39,Vilanova i la Geltrú,m8307,dontshow
Huelva,21,68.4,35,33.4,107,Huelva,m21041,dontshow
"Las Palmas",35,60.9,27.6,33.3,9,"Oliva, La",m35014,dontshow
"Las Palmas",35,53.4,20.5,32.9,10,Mogán,m35012,dontshow
Navarra,31,51.8,19.1,32.7,137,Pamplona/Iruña,m31201,dontshow
Córdoba,14,54.3,21.7,32.6,27,Lucena,m14038,dontshow
Málaga,29,66.1,33.5,32.6,75,Marbella,m29069,dontshow
Sevilla,41,66.2,33.9,32.3,47,Alcalá de Guadaíra,m41004,dontshow
Alicante,3,57,25,32,23,Villena,m3140,dontshow
"Illes Balears,",7,58.4,26.4,32,24,Manacor,m7033,dontshow
Alicante,3,50.7,18.8,31.9,7,Guardamar del Segura,m3076,dontshow
"Las Palmas",35,59.9,28,31.9,6,Yaiza,m35034,dontshow
Santa Cruz de Tenerife,38,60.8,28.9,31.9,24,Granadilla de Abona,m38017,dontshow
Alicante,3,54.5,22.9,31.6,7,"Nucia, la",m3094,dontshow
Alicante,3,59.4,27.8,31.6,7,Calp,m3047,dontshow
"Illes Balears,",7,60.5,28.9,31.6,25,Calvià,m7011,dontshow
Valladolid,47,52.8,21.4,31.4,266,Valladolid,m47186,dontshow
Barcelona,8,62.1,30.9,31.2,152,Sabadell,m8187,dontshow
